,Address,Type,Name
810,Grand Medical Corporation ,Hospitals/Healthcare,"8, Bhagat Singh Lane Gole Market"
811,ReNsure Health Care Pvt Ltd ,Hospitals/Healthcare,"Plot no 296, vijaya Sreedha Tara Arcade Complex"
812,Hair Fixing Zone ,Hospitals/Healthcare,"#7/4,First Floor,ITPL Main Road, Bata Show Room Beside Lane, Kundanahalli, Marathahalli, Bangalore"
813,Giosun  ,Hospitals/Healthcare,"Giosun Healthcare Private Limited, Plot No.25, Phase – III, IDA Cherlapally, Hyderabad – 500051 India"
814,Dr Kirans Eye Hospitals ,Hospitals/Healthcare,"MIG No 88, Rd Number 1, KPHB Phase 1, Kukatpally, Hyderabad, Telangana"
815,ASHA JOBS ,Hospitals/Healthcare,"ROOM NO 100-A, OPP LABAIK HOUSE, CHIMBAI ROAD, BANDRA WEST, MUMBAI"
816,uppal neoro hospital ,Hospitals/Healthcare,"4,rani ka bagh amritsar"
817,Dr Divya Skin and Hair Solutions Clinic ,Hospitals/Healthcare,"575 GTR Complex AECS Layout C block Bengaluru, Apt. No. or Suite No."
818,Pharma Franchise Mart ,Hospitals/Healthcare,"108, Sector 14"
819,Biocityhealthcare ,Hospitals/Healthcare,"Plot No 21A, Gurunankpura,Nirman Vihar"
820,Techno India DAMA ,Hospitals/Healthcare,"LB 10, Eastern Metropolitan Bypass, Chingrighata, Sector III, Kolkata, West Bengal 700106"
821,Diwya Vatssalya Mamta Fertility Centre : IVF Center in Patna ,Hospitals/Healthcare,234/235 Near Laddu Gopal Patliputra Colony
822,Neelam Mishra ,Hospitals/Healthcare,"Sir Ganga Ram Hospital, Rajinder Nagar"
823,Harini hospitals  ,Hospitals/Healthcare,"# 29, 14-51, Prakasam Rd, near Pushpa Hotel Center, Suryaraopeta, Labbipet, Vijayawada, Andhra Pradesh 520002"
824,Institute of Andrology and Sexual Health (IASH) ,Hospitals/Healthcare,"138-A, Vasundhara Colony, Gopalpura Bypass, Tonk Road, Jaipur - 302018"
825,aarogyapath ,Hospitals/Healthcare,"#171 2nd Floor, Brij puri colony, Opp. D.A.V School, Govindpuri road, Yamunanagar, Haryana-135001, M.G. road"
826,Ankoor Fertility Clinic  ,Hospitals/Healthcare,"Ultra Co-op Society, A-1, Grd. Floor, Dilip Gupte Road, near Goa Portuguesa, Shivaji Park, Mumbai, Maharashtra 400016"
827,Ambulance Services in Delhi ,Hospitals/Healthcare,"Office No- 31, First Floor, Uttranchal Plaza, Vasundhra, Sector-3, Near Pani Tanki, Ghaziabad, NCR Delhi-201012  Phone : +91-9560123309, +91-9650432705  Email : info@medivicambulance.com"
828,Dr Raina Clinic ,Hospitals/Healthcare,"E-34, EKTA APARTMENT, Saket, Near Opposite, Malviya Nagar Metro, New Delhi - 110017"
829,DevaDoss MultiSpeciality Hospital in Madurai ,Hospitals/Healthcare,"Surveyor Colony, Madurai – 625 007 Tamil Nadu, India."
830,Dr Bipin Vibhute ,Hospitals/Healthcare,"Upper Basement Sahyadri Multispeciality Hospital, Karve Road, Erandawane, Deccan Gymkhana"
831,YogMantrana ,Hospitals/Healthcare,"Chattarpur Extension, New Delhi"
832,Giosun Healthcare private  limited ,Hospitals/Healthcare,"Giosun Healthcare Private Limited, Plot No.25, Phase – III, IDA Cherlapally, Hyderabad – 500051 India"
833,Safety First India  ,Hospitals/Healthcare,"609, 6th Floor, Sethi Bhawan, Rajender Place, Delhi-110008"
834,MindsightClinic ,Hospitals/Healthcare,"3rd Floor, Sunita Kutir / Divine castle Mamlatdar wadi, Cross Road no.4 Liberty Garden, Malad West"
835,Reviva Fertility  IVF clinic ,Hospitals/Healthcare,"Ground, S.C.O 50-51, 9D, Madhya Marg, Chandigarh 160009 India"
836,Contours ,Hospitals/Healthcare,"#8-2-120/112/P/5, 2nd Floor, Park View Estates, opp: KBR park, Road No. 2,Banjara Hills."
837,The Cosmetic Clinic ,Hospitals/Healthcare,"Shreeji Heights, Shop No.19, Sector 46/A, Palm Beach Road, Seawoods,Navi Mumbai- 400 706."
838,cosmetic dental implant center ,Hospitals/Healthcare,"A 6 upper ground floor, prime city centre wakad thergaon road wakad pune"
839,Parentingask ,Hospitals/Healthcare,bhopal
840,Harleys Hair Transplant Mumbai ,Hospitals/Healthcare,"Shop No. 2/C wing, 1st floor, Platinum Heights, Near Versova Telephone Exchange, MHADA-Lokhandwala signal, Andheri West, Mumbai. 400053"
841,AMBER REHABILITATION CENTER ,Hospitals/Healthcare,"#9, Pinaki Path, Near Brindaban Garden, Zoo Road Tiniali, Guwahati"
842,SHIVA FASTENERS PVT. LTD. ,Hospitals/Healthcare,"S-38, Parpatapur, Delhi Rd, Sector 2, Udyog puram, Meerut, Uttar Pradesh 250002, India"
843,Mihir Vora ,Hospitals/Healthcare,"Andheri East, Mumbai"
844,Bihar clinic ,Hospitals/Healthcare,Near makhna marble Gaya road nawada
845,Jain Multispeciality Hospital ,Hospitals/Healthcare,"Near Dussehra Ground, Opposite Electricity Board, GT Road, Khanna, Distt. Ludhiana Punjab - 141401"
846,Anand Cardiotech ,Hospitals/Healthcare,"Club Road, Civil Lines"
847,VS Hospitals ,Hospitals/Healthcare,"815/306, Poonamalle High Rd, Kilpauk,"
848,Aakash Healthcare Super Speciality Hosptial ,Hospitals/Healthcare,Road NO 201 Sector 3 Dwarka
849,Eminence home healthcare  ,Hospitals/Healthcare,"AB Towers, Moghalrajpuram "
850,Jewel Autism Centre ,Hospitals/Healthcare,"Cheriyapally Hospital Buildings ,Ooppoottil Kavala ,Chalukunnu, Kottayam"
851,Nurvinaari By Dr Sujata Rathod ,Hospitals/Healthcare,"Hiranandani Hospital Hamilton â€˜Bâ€™, Hiranandani Estate, Off, Ghodbunder Rd, Patlipada, Thane West, Thane, Maharashtra 400607"
852,Total Ayurveda Care ,Hospitals/Healthcare,"#3, 12th Main Road, Vasanth Nagar"
853,Pegasus Institute of Pain Management ,Hospitals/Healthcare,"J-6, Hansraj Marg, Near Krishna Nagar Metro Station"
854,Medinza Healthcare Medical Equipemt ,Hospitals/Healthcare,"C-94, Ganesh Nagar"
855,Endovascular Expert Vascular Stroke Pain & Clinic ,Hospitals/Healthcare,"G-9, Unique Shardool, 14, Chetak Marg, Jawahar Lal Nehru Marg, near JK Lon Hospital"
856,Cosmohair ,Hospitals/Healthcare,"173, Ram Gali Number 2, Raja Park"
857,Partani Clinic ,Hospitals/Healthcare,"Partani Clinic- M-21, Mahesh Colony, JP Crossing Underpass"
858,Healthopedia ,Hospitals/Healthcare,"6/2H, Cossipore Road"
859,DR KK RAO Homeopathic hospital ,Hospitals/Healthcare,"Shop No.-7, Gurunanak Market, Sector-4&7 Chowk, Near Fire Station, New Railway Rd, Gurugram, 122001"
860,Cordlife Sciences India Pvt Ltd ,Hospitals/Healthcare,"3169/I, SECOND FLOOR,SERVICE ROAD, HAL SECOND STAGE, BANGALORE- 560008. L/M NEAR CALIFORNIA BURRITO."
861,Smile Store ,Hospitals/Healthcare,"3A, A wing, 1st floor, Matru Ashish Society, next to Theme Music Institute, 39, Nepean sea road, Mumbai-400036"
862,Manas Hospital ,Hospitals/Healthcare,"1103/3d/1 Tagore Nagar, near Hero Heart Center, Block-B, Udham Singh Nagar, Civil Lines, Ludhiana, Punjab 141001"
863,Pet Prime ,Hospitals/Healthcare,"Shop No-4, Huda Market, Sec-5,"
864,Nitin Naturals ,Hospitals/Healthcare,"Jain street, chhipatti, kannauj"
865,Skin 360 Clinic ,Hospitals/Healthcare,"First floor Trapezium one building , near bheemas hotel , OU colony Manikonda"
866,sunway knee clinic ,Hospitals/Healthcare,"AH, 37/39, Main Rd, AH Block, Shanthi Colony, Anna Nagar"
867,The Inspiration Fitness Center ,Hospitals/Healthcare,"65, Greater Kailash Colony, Lal Kothi, Jaipur"
868,Centre for Cosmetic and Plastic Surgery ,Hospitals/Healthcare,"10, Malhan Arcade, 3rd Floor Patparganj, Delhi, 110092"
869,Aya Centre in Barasat ,Hospitals/Healthcare,"Taki Road, Barasat"
870,Mentok healthcare Private Limited ,Hospitals/Healthcare,F-128 DHAN SHREE TOWER 1ST CENTRAL SPINE VIDHYADHAR NAGAR JAIPUR-302039
871,SMB Corporation ,Hospitals/Healthcare,"Prem Industrial Estate, Subhash Nagar Rd, Subhash Nagar, Jogeshwari East"
872,Mohak Bariatrics and Robotics ,Hospitals/Healthcare,"Sri Aurobindo Medical College Campus, Indore-Ujjain, State Highway, Sanwer Road"
873,acupuncuretreat ,Hospitals/Healthcare,"J-10,93/94 Tihar P.O Tilak Nagar Opposite Mother Dairy,New Delhi-110018"
874,Ratan Hospital for Women and Children ,Hospitals/Healthcare,"Minar Plaza, South, E Gandhi Maidan Rd, Salimpur Ahra, Dujra Diara, Patna, Bihar 800001"
875,muscleandstrength ,Hospitals/Healthcare," B198, Lajpat Nagar 1  New Delhi 110024"
876,BISI WORLD ,Hospitals/Healthcare,"05 Hospital Road, Opposite SMS Trauma Centre, C-Scheme, Jaipur 302020"
877,Healthcare Expert Solutions ,Hospitals/Healthcare,"57-18 JUNCTION BLVD, ELMHURST, NY, 11373 USA"
878,Caredose ,Hospitals/Healthcare,"B1/ H4, Mohan co-operative industrial estate, Mathura road, New Delhi, 110044"
879,INVEDA ,Hospitals/Healthcare,"395  shapur jat, fashion street"
880,inveda india ,Hospitals/Healthcare,"395, shahpur jat, new delhi"
881,Poise Skin Clinic ,Hospitals/Healthcare,"94 BG, Scheme No. 74, Near V-Care Hospital, Vijay Nagar, Madhya Pradesh 452001, India"
882,Vee Technologies ,Hospitals/Healthcare,"Bengaluru HQ Sona Towers, 71 Millers Road, Vasanth Nagar, Bengaluru, Karnataka "
883,ROY MEDICAL CENTRE UNIT OF ASGAR GROUP ,Hospitals/Healthcare,"Roy Medical Centre, Thycaud Hospital Road, Thycaud P.O., Trivandrum -695014"
884,Look Thick ,Hospitals/Healthcare,"7050 Brookhollow W Dr Suite # 41341, Houston, TX 77040"
885,"Aayan Medical Imaging | Ultrasound Machine, Mobile MRI CT Scanners ",Hospitals/Healthcare,"Suite 25, Second Floor, Executive Complex,G-8 Markaz"
886,Dr Amit Barala ,Hospitals/Healthcare,"Barala Hospital, Chomu, Jaipur-302004 (Raj.) INDIA"
887,Poonia Pet Centre  ,Hospitals/Healthcare,"Shop no -28,CSC-Janta .Co-operative House Building Society ,Meera Bagh ,New Delhi-110087"
888,ZenOnco.io ,Hospitals/Healthcare,"136, Ground Floor Sai Siddharth Bunglow Besides Suraj Ashiana 10th Road, Khar West"
889,Anand Gupte INPOSTURE (Pain Relief & Rehab) ,Hospitals/Healthcare,"47/22, Ekta Park, Law College Road, Pune - 411004, Maharashtra, India"
890,Medical Equipments Dealer ,Hospitals/Healthcare,"Shop No 2, F.I. SHOPPING COMPLEX, 37 CANTT ROAD, Lucknow 226002"
891,Pancha Yoga ,Hospitals/Healthcare,"Pancha Yoga No 301, 3rd floor, Colossal Fortuna plot no 76, lane opp HDFC Bank, Kavuri Hills, Madhapur Hyderabad, Telangana 500081."
892,Life Healer ,Hospitals/Healthcare,"338, Jagrati Enclave, Anand Vihar (New Delhi)"
893,MEI LING HEALING CENTER ,Hospitals/Healthcare,"D/49, Trimurti Flat, Near Swati Society,, New sama Road"
894,"Bookmyscans - Full Body Health Checkup, MRI Scan, CT Scan, PET CT Scan & Surgeries in India ",Hospitals/Healthcare,"Bookmyscans, #24, 2nd floor, CMH Road, Indira Nagar, Bengaluru, Karnataka 560038"
895,third party manufacturers ,Hospitals/Healthcare,"108 , sector -14 Panchkula"
896,Dr. Dixit Cosmetic Dermatology ,Hospitals/Healthcare,"32, 1st floor, (Above HDFC Bank), 1st Main Koramangala 1st block, Bangalore"
897,Bheems dental clinic ,Hospitals/Healthcare," Bheems dental clinic H.no 8-1-284/298 First floor, Manikonda Rd, above Biryanis take away, OU Colony, Shaikpet, Hyderabad, Telangana 500008"
898,Active Ayu Life ,Hospitals/Healthcare,"C 368 Guru Virjand Marg, Near Oxford School Vikas Puri, Delhi â€“ 110018"
899,Lbr dental and implant center ,Hospitals/Healthcare,"#201, Apurupa Kushi, Plot No. 45&46, Kavuri Hills, Madhapur, "
900,Mitvana Stores ,Hospitals/Healthcare,"No. L-21, F-4 LIC Colony, Sector-14 JeevanBhima Nagar Bangalore - 560075. India."
901,BLAZING STAFFING AND OUTSOURCING SOLUTIONS ,Hospitals/Healthcare,"97, Ist Floor, G Block, New Mansarovor Garden, New Delhi"
902,Sudar hospital ,Hospitals/Healthcare,"No.349, MUTHURANGAM ROAD WEST TAMBARAM CHENNAI - 600045 TAMILNADU INDIA"
903,Trishul Home Care ,Hospitals/Healthcare,sales@trishulhomecare.com
904,"soul spirit, yoga ",Hospitals/Healthcare,harmony mall.goregaon
905,Fettle Bio Products ,Hospitals/Healthcare,"218, New Tiny Sector, Post Office Road, Ambattur Industrial Estate"
906,Smile Studio ,Hospitals/Healthcare,"8A Kutchhi House, K.A.Subramanium Road, Near Jain Temple Brahamanwada,
Matunga, Mumbai, MH 400019"
907,meerazclinic  ,Hospitals/Healthcare,"MEERAZ CLINIC, Plot no. 150 Jankidevi School Rd, Mhada Rd, Behind MTNL, SV Patel Nagar, Andheri West"
908,meddcoambulance ,Hospitals/Healthcare,"Meddco House 209, Flying Colors, Deendayal Upadhyaya Marg, Mulund West, Mumbai"
909,Bansal Global hospital ,Hospitals/Healthcare,"C-10 Ramgarh,, Near Jahangirpuri Metro Station, Delhi, 110033"
910,MORINGASHOP ,Hospitals/Healthcare,"2nd Floor, opp. Ambiga Theatre, Vaigai Colony, Annanagar East, Madurai, Tamil Nadu 625020"
911,TruGeny Longevity Labs Pvt Ltd ,Hospitals/Healthcare,"3rd Floor, Private Ltd, Silver Software, 23 & 24, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066"
912,rosalin ortho neuro ,Hospitals/Healthcare,"3, 22, Vibhav Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
913,HEALTHBUDDY HEALTHCARE PHARMACY ,Hospitals/Healthcare,"Shop No.12, M3M MERLIN APARTMENTS, SECTOR 67"
914,Bhabani ambulance service ,Hospitals/Healthcare,Koraput
915,City Dental ,Hospitals/Healthcare,"City Dental, E 986, Saraswati vihar, Pitampura"
916,Manushree Pharma  ,Hospitals/Healthcare,Gat.No 133/1 Plot.No 57 Yamuna Nagar Behind Hotel Gaurav
917,Balaji Physiotherapy ,Hospitals/Healthcare,"3/209 Vishnupuri Beema Chauraha, Nawabganj Kanpur, Balaji physiotherapy"
918,Dr Venugopal Pareek ,Hospitals/Healthcare,"Sunshine Hospitals, Adjacent To Parsi Dharamshala, Hyderabad, Telangana 500003"
919,CannaEssentials ,Hospitals/Healthcare,H-187 sector 63 Noida
920,Harish Enterprises ,Hospitals/Healthcare,Bhavani Nagar
921,KHERA INSTRUMENTS PVT LTD ,Hospitals/Healthcare,"Kusum Deep Building, M 4, Commercial Complex Gopal Nagar"
922,Wings Ivf Womens Hospital ,Hospitals/Healthcare,"17, Sunrise Park, Himalaya Mall to Vastrapur Lake Road,Bodakdev,Ahmedabad  Gujarat ,India -380054"
923,Hydeabad shoulder clinic ,Hospitals/Healthcare,"Oakridge Hospitals, Survey No 64, H.no 1-12/3, Flat No. 3, Behind Karachi Bakery, Hitech City Rd, Madhapur, Hyderabad, Telangana 500081"
924,Book my yoga ,Hospitals/Healthcare,sakarpur laxmi nagar delhi
925,Little Paws Vet Clinic ,Hospitals/Healthcare,"red light, Shop no 1 A 299, opst Chattarpur Metro Station, Andheria Mor Village, Chhatarpur, New Delhi, Delhi 110074"
926,VitalTicks Pvt Ltd ,Hospitals/Healthcare,"#17, 5th Cross Road,35th Main Rd, KAS Officers Colony, Stage 2, BTM Layout, Bengaluru, Karnataka 560068"
927,PARIKSHA ULTRASOUND & Daigonstic centre ,Hospitals/Healthcare,"Bibipur road,garkha,near gandki Nadi,"
928,Shivam ,Hospitals/Healthcare,C- 41 Mahendru Enclave Lane No 4 Opp. Vardhman Mall Near azadpur Metro Station Delhi 001133
929,Dr Mudit Sabharwal ,Hospitals/Healthcare,"4901, Amaltas Drive, DLF Phase-4, Gurugram"
930,willamjames ,Hospitals/Healthcare,"Sacramento, California, USA"
931,mysanjivanibooti ,Hospitals/Healthcare,chandni chowk
932,Travel Clinic NYC ,Hospitals/Healthcare,"274 Madison Ave, Suite 501, New York, NY 10016"
933,SUNSHINEHAIRSTUDIO ,Hospitals/Healthcare,"565, 17A Main, 6th block, Near sony signal, Kormangala, opp:Gangothri hotel,"
934,alveo Dental Clinic ,Hospitals/Healthcare,"SPO 225, 2nd Floor, Office Block DLF South Point Mall Golf Course Road, Gurugram, 122002"
935,Jawed Habib Salon Hazratganj ,Hospitals/Healthcare," First Floor, 25 kha, Jopling Rd, P.N.Road, Butler Colony, Lucknow, Uttar Pradesh 226001"
936,milestonessalem ,Hospitals/Healthcare,"59/37 Sarada college road,  Salem 636007."
937,Sunshine Wellness Centre ,Hospitals/Healthcare,"54/3 Nagle Gaon Vasai Bhiwandi Road, Vasai East 401202, Palghar"
938,Diyos Hospital ,Hospitals/Healthcare,"Diyos Hospital, A1/26, near Green Fields school, B3 Block, Nauroji Nagar, Safdarjung Enclave, New Delhi, Delhi 110029"
939,best bariartic Surgeon dubai ,Hospitals/Healthcare,Sheikh Zayed Rd - Dubai
940,DDC Laboratories India ,Hospitals/Healthcare,"SCF â€“ 193, First Floor Modern Market, Mattaur, Sec-70"
941,Lakme Salon Dehradun ,Hospitals/Healthcare,"33/6 Subhash Road, Opp. Back Gate of St. Josephs Academy, Dehradun"
942,Kubera Medical Technologies  ,Hospitals/Healthcare,"A7-15, DABC Accasia, Mambakkam, Chennai - 600127"
943,Laser Veins Clinic ,Hospitals/Healthcare,"JADAAW COMPLEX, Plot No.09-1-66/1, S D Road, Clock tower Near BASERA Hotel Beside Bharat petrol pump lane Secunderabad, Telangana"
944,Dahlia Foundation ,Hospitals/Healthcare,"Shahapur-Murbad Road, Near Sai Raj Dhaba, Nadgaon, Maharashtra"
945,International Health Care Limited ,Hospitals/Healthcare,"Kohinoor Apts., Kalanagar, Benz Circle, VIJAYAWADA â€“ 520 010, Andhra Pradesh, INDIA"
946,Dr Vaibhav Shah Clinic ,Hospitals/Healthcare,"10th Floor, Shop No.1001, Paras Business Center, Near Kasturba Police station, Kasturba road no.1, Borivali (East) Mumbai, Maharashtra 400066, India"
947,AG Clinics Hair Transplant  ,Hospitals/Healthcare,http://agclinics.in/
948,Anand Cardiotech Pvt Ltd ,Hospitals/Healthcare,"73, Club Road, Civil Lines"
949,Indore laparoscopy Center ,Hospitals/Healthcare,"3rd Floor, The Landmark Building , 16/1/3 , Race Course Road, Janjeerwala Square, near Sodani Diagnostic Center, Indore, Madhya Pradesh 452001"
950,Dr Parthasarathi ,Hospitals/Healthcare,"MAGRATH ROAD Magrath Road, Near Garuda Mall,"
951,Lose weight now ask me how  ,Hospitals/Healthcare,Ulhasnagar 
952,Campbell Hospital ,Hospitals/Healthcare,"#11/A, 9th Main, 13th Cross, Sector-VI, HSR Layout"
953,JH Dental Care ,Hospitals/Healthcare,"SCO B0023/397 First floor - Above Allahabad Bank Near Khalsa Dhaba, Desu Majra, Kharar"
954,Chandigarh Ayurved Centre ,Hospitals/Healthcare,"2003/9, sector-32 C, chandigarh"
955,Life slimming And cosmetic clinics ,Hospitals/Healthcare,"2nd Floor, Above SBH Bank,, Grand sitara hotel building, Road No 12, Banjara Hills, Hyderabad 500034"
956,Retail Pharma  ,Hospitals/Healthcare,Ahmedabad
957,IndusValley ,Hospitals/Healthcare,"Office Address: 1223, Ansal Tower, Nehru Place New Delhi-110019, India"
958,Keto Club India ,Hospitals/Healthcare,"Lucknow, Uttar Pradesh, India"
959,Namma Doctovalley Pvt Ltd ,Hospitals/Healthcare,"#63, Industrial Layout, 5th Block, Koramangala"
960,Brillar Cosmetic clinic ,Hospitals/Healthcare,"18th, 1st Main, 1st Block, Koramangala, Diagonally Opposite to Essar Petrol Pump, Near Wipro Park"
961,BetterLYF Online Counselling Psychologist Online Therapy ,Hospitals/Healthcare,"228, DLF Galleria"
962,Parikshan Surgical Pathology and cytology lab ,Hospitals/Healthcare,"Shop No. 4, 1st Floor, Panchsheel Building, Devidayal Road, Panchrasta, Mulund West, Mumbai, Maharashtra 400080"
963,Dr Mohammed Ali ,Hospitals/Healthcare,"Scheme No. 74-C, Sector D, Vijay Nagar,"
964,Arlak Corazon ,Hospitals/Healthcare,"SCO 6 WADHWA NAGAR, Zirakpur, Chandigarh, Punjab 140603"
965,Athreya ayurvedic center ,Hospitals/Healthcare,"Athreya Ayurvedic Centre, Pakkil P.O., Pallom, Kottayam, Kerala"
966,Delhi Laparoscopic Surgery Clinic Delhi Noida ,Hospitals/Healthcare,"Sarhadi Gandhi Marg, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi 110060"
967,Madly Muscles ,Hospitals/Healthcare,"G67, Ground Floor, Haware Fantasia Business Park, Plot No.47, Sector 30A, Vashi, Infront of Vashi Station, Next to Inorbit Mall, Navi Mumbai, Maharashtra, India 400703"
968,Astang Ayurveda Hospital ,Hospitals/Healthcare,"Plot No: Mig-43, Pokhariput,, BDA Colony, Phase-1"
969,Jananam Fertility Centre ,Hospitals/Healthcare,"22, Kazura Garden First Street Neelangarai, Chennai 600 115. Tamilnadu, INDIA."
970,Sudha Tandon Fertility Center ,Hospitals/Healthcare,"4th Floor, Gagangiri Complex, 18th Road, Near Dr. Ambedkar Udyan Chembur (E). Mumbai"
971,pick my spa ,Hospitals/Healthcare,"No, 3rd Cross Rd, R.K Colony, Ramaiah Garden, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560083"
972,Best spine surgeon in india for spinal treatment ,Hospitals/Healthcare,"8/2, Wise Ghat Road, Saderghat, P.O. Box: 1100"
973,Bhopal Urology ,Hospitals/Healthcare,"Neha Clinic Behind Apsara Cinema, Govindpura, Bhopal, (M. P.)"
974,Malaivel ,Hospitals/Healthcare,"Vaithiar Mr. M. Ganapathy ( Hereditary Practitioner ),, Karivalam Vanda Nallur, Sankarankovil (Tk),, Tirunelveli - 627 753., "
975,Dentalsolutions Clinic ,Hospitals/Healthcare,"Ground Floor, No-498, 15th Cross II stage, Indiranagar Bangalore, karnataka 560038"
976,The Ayurveda Shop ,Hospitals/Healthcare,"Ug-1 Navneet tower, Old Palasia, "
977,Earth & Ether Clinic-Dermatologist in Pune & Skin Specialist in Pimpri Chinchwad-Dr.Varsha Rangari ,Hospitals/Healthcare,"Earth & Ether Clinic, Unit 12, Second floor, Ganesham D commercial complex, Pimple Saudagar, Pune, Maharashtra 411027"
978,shiv artlife wellness centre ,Hospitals/Healthcare,"831-C,-GULMOHAR GREENS, Mohan Nagar, Ghaziabad, Uttar Pradesh 201010"
979,Fitfem ,Hospitals/Healthcare,"2/91 McMinn street, Darwin city 0800, Northern Territory, Australia"
980,Arkray Healthcare ,Hospitals/Healthcare,"701 / 702, Opulence, TPS III, 6th Road, Santacruz East, Mumbai, Maharashtra 400055"
981,Asic Clinic  ,Hospitals/Healthcare,ARTHROPLASTY & SPORTS INJURY CENTRE
982,Health Plus Clinic ,Hospitals/Healthcare,"UGF â€“ 203, Suncity Arcade, Suncity,, Sector 54,"
983,gaganfitness ,Hospitals/Healthcare,House no.3278 sector 21 D Chandigarh
984,Fertility Dost ,Hospitals/Healthcare,"G-12,Ground Floor,PLOT NO.1, VARDHMAN SUNRISE PLAZA, Vasundhra Enclave, Phase-1"
985,Soulful Dental Care - Exclusive Dental Clinic for Kids ( -Dr Swapnil Rachha) ,Hospitals/Healthcare,"The Business Hub, Office Number 108, Dahanukar Colony, Karve Road, Karve Nagar, Kothrud Landmark : Opposite To Mirch Masala Hotel, above Ford Showroom, Pune, Maharashtra 411038"
986,The Body Cliinic ,Hospitals/Healthcare,"518, 3rd floor, VV Arcade, B Block, 1st main road, AECS Layout, Brookefield, Bangalore"
987,india medical tourism ,Hospitals/Healthcare,"Dr. Krishna Subramony Iyer Fortis Escorts Heart Institute Okhla road, Sukhdev Vihar Metro Station, New Friends Colony New Delhi, Delhi 110025"
988,Cocoona ,Hospitals/Healthcare,"S-206, Ground Floor, Near M Block Market, M Block Rd, Block S, Greater Kailash II, Greater Kailash, New Delhi, Delhi 110048"
989,IVF Center ,Hospitals/Healthcare,"132 Feet Ring Rd, Near Manav Mandir, Memnagar"
990,K&H Personalized Medicine Clinic ,Hospitals/Healthcare,"Suit#2B Plot No.240,Nirvana,, Road No. 36, Jawahar Nagar, Jubilee Hills,, Hyderabad Telangana 500033, India"
991,Noble Heart & Super Specialty Hospital ,Hospitals/Healthcare,"PLOT NO. 2, RAJ GARDEN, DELHI BYE PASS , ROHTAK - 124001"
992,India IVF Fertility ,Hospitals/Healthcare,"939, Ground Floor, Urban Estate, Sector 40, Gurgaon"
993,Haritha Yogshala ,Hospitals/Healthcare,"Near Parmarth Niketan Ashram, Swargashram Area, Rishikesh, Uttarakhand, India 249304"
994,DNAwise Genetic Testing ,Hospitals/Healthcare,"INDUS HOUSE, Pride Port, Model Colony, Pune, Maharashtra, 411016"
995,Health N Wellness ,Hospitals/Healthcare,"404, tricity plaza , peermuchalla , zirakpur"
996,Nasima Health ,Hospitals/Healthcare,"Durgapur, PIN - 713363"
997,Arise Facility Solutins ,Hospitals/Healthcare,"M.U. Chamber Bldg, Ground Floor, Room No 3, Opp Anupam Talkis, Station Road Goregaon East, Mumbai -400063"
998,Genes 2Me Private Limited ,Hospitals/Healthcare,1105 SAS Tower B Medicity Sector 38
999,OVO Health ,Hospitals/Healthcare,Noida
1000,MISSION SMILE DENTAL CENTRE ,Hospitals/Healthcare,"Ballygunge Branch: 38E Garcha Road, Kolkata-700019msdckolkata@gmail.com"
1001,Express Clinics Pvt. Ltd. ,Hospitals/Healthcare,"E â€“ Space Building, A2 Wing, 2nd Floor, Pune Nagar Road, Vadgaon Sheri, Pune:  411014"
1002,Herbalife Nutrition Shake Products Online Distributor Dealer Office Centre ,Hospitals/Healthcare,"South Indian Bank, East Anandbagh, Malkajgiri"
1003,Bliss Fertility Centre ,Hospitals/Healthcare,"Welfast Medical Centre, K. K Road, Vadavathoor,"
1004,DHI ,Hospitals/Healthcare," A- 2/25, Safdarjung Enclave, Block A 2, Safdarjung Enclave, New Delhi, Delhi 110029"
1005,aisotec ,Hospitals/Healthcare,"NO .  90  & 92  ,  6Th Cross  , 80 Feet Road ,  Below Karnataka Bank ,    MCECHS Layout ,  DR  Shivaram Karanth Nagar ,   RK Hegde Nagar ,    Bengaluru , Karnataka -  560077"
1006,babybathmoments ,Hospitals/Healthcare," 228 East Rt 59 Suite 129 Nanuet, NY 10954"
1007,Baby Bath moments ,Hospitals/Healthcare," 228 East Rt 59 Suite 129 Nanuet, NY 10954"
1008,The Wellness Clinic ,Hospitals/Healthcare,"SR-3A, Arihant Plaza,opp. Crown Plaza, Below Indian Overseas Bank,Amrapali Marg,Vaishali Nagar"
1009,ELCE Hospital ,Hospitals/Healthcare,"414, Bharathiyar Road, New Siddhapudur"
1010,PROLGAE SPIRULINA ,Hospitals/Healthcare,prolgaespirulina1@gmail.com
1011,Dr Alok mathur cardiac Surgeon in Jaipur ,Hospitals/Healthcare,"Near Triveni Flyover,Â Gopalpura Bypass Road, Jaipur, Rajasthan, 302018"
1012,Jaipur Skincity ,Hospitals/Healthcare,"26, Pankaj Singhvi Marg, Satyavihar Colony, Next to Jain E.N.T. Hospital, Lalkothi, Jaipur, Rajasthan 302015"
1013,Nema Eldercare ,Hospitals/Healthcare,"AP-05, NEMA Lane, G Block, Palam Vihar, Gurgaon"
1014,skyabtoz ,Hospitals/Healthcare,"292, Sector 39 gurugram, Haryana, India"
1015,NubelloClinic ,Hospitals/Healthcare,"Shop No. 28, Aum Sai, Sector 7"
